poll_time,events_processed,events_dropped,alerts_fired,queue_backpressure_events
1785439205.219682,3980,0,0,0
1785439206.2198074,5954,0,0,0
1785439207.2199228,7984,0,0,0
1785439208.2200518,9896,0,0,0
1785439209.220168,11691,0,0,0
1785439210.2202806,13630,0,0,0
1785439211.220394,15573,0,0,0
1785439212.2205045,17647,0,0,0
1785439213.2206068,19675,0,1,0
1785439214.220743,21651,0,1,0
1785439215.220854,23496,0,1,0
1785439216.2209659,25492,0,1,0
1785439217.2210839,27456,0,1,0
1785439218.2211945,29140,0,3,0
1785439219.2213485,31217,0,3,0
1785439220.2214644,33246,0,3,0
1785439221.221575,35237,0,3,0
1785439222.221695,37308,0,3,0
1785439223.221809,39225,0,3,0
1785439224.221927,41252,0,4,0
1785439225.2220514,43393,0,4,0
1785439226.2221782,45502,0,4,0
1785439227.2223864,47477,0,4,0
1785439228.2225006,49254,0,4,0
1785439229.2226517,51330,0,4,0
1785439230.222767,53254,0,4,0
1785439231.2235792,55154,0,4,0
1785439232.2236898,57182,0,4,0
1785439233.223827,59136,0,6,0
1785439234.224032,61146,0,7,0
1785439235.2241495,63089,0,7,0
1785439236.224288,65119,0,7,0
1785439237.2244031,67133,0,7,0
1785439238.2245157,69080,0,7,0
1785439239.2246234,71124,0,7,0
1785439240.2247393,73147,0,7,0
1785439241.2248535,75199,0,7,0
1785439242.2249753,77207,0,7,0
1785439243.225093,79070,0,7,0
1785439244.2252152,81152,0,8,0
1785439245.2253578,82949,0,8,0
1785439246.225459,84932,0,8,0
1785439247.2256124,86958,0,8,0
1785439248.2257369,88989,0,10,0
1785439249.2260647,90968,0,10,0
